case_id,scenario,success,failure,step_count,average_step_latency_ms
shared_phone,shared_phone,True,,1,16.53
single_patient,single_patient,True,,1,7.16
earliest_slot,earliest_slot,True,,2,71.95
exact_time_booking,exact_time_booking,True,,4,25.72
cancel,cancel,True,,5,20.37
reschedule,reschedule,True,,6,19.79
hindi,language_lookup,True,,2,14.02
english,language_lookup,True,,2,37.64
code_switching,language_lookup,True,,2,13.23
human_callback,followup,True,,2,22.7
clinical_concern,followup,True,,2,14.6
double_booking,double_booking,True,,4,11.36
idempotency_replay,idempotency_replay,True,,5,18.62
doctor_unavailable,doctor_unavailable,True,,2,26.16
branch_unavailable,branch_unavailable,True,,2,19.05
outside_schedule,outside_schedule,True,,2,19.16
dropped_call,dropped_call,True,,2,15.08
resume_conversation,resume_conversation,True,,3,18.4
